0,CombatZoneResize,133,251,508,391,TLResume,,
0,HeartTeleport,320,376,,,,,
0,HeartMode,1,,,,,,
0,TLPause,,,,,,,
0.2,,,,,,,,
0,BoneVRepeat,108,257,95,0,300,10,200
0,BoneVRepeat,108,366,20,0,300,10,200
0,BoneVRepeat,523,257,95,2,300,10,200
0,BoneVRepeat,523,366,20,2,300,10,200
0,BoneVRepeat,88,257,95,0,340,10,226
0,BoneVRepeat,88,366,20,0,340,10,226
0,BoneVRepeat,543,257,95,2,340,10,226
0,BoneVRepeat,543,366,20,2,340,10,226
0,BoneVRepeat,68,257,95,0,380,10,254
0,BoneVRepeat,68,366,20,0,380,10,254
0,BoneVRepeat,563,257,95,2,380,10,254
0,BoneVRepeat,563,366,20,2,380,10,254
0,BoneVRepeat,48,257,95,0,420,10,280
0,BoneVRepeat,48,366,20,0,420,10,280
0,BoneVRepeat,583,257,95,2,420,10,280
0,BoneVRepeat,583,366,20,2,420,10,280
0,BoneVRepeat,48,257,95,0,460,10,306
0,BoneVRepeat,48,366,20,0,460,10,306
0,BoneVRepeat,583,257,95,2,460,10,306
0,BoneVRepeat,583,366,20,2,460,10,306
8,EndAttack,,,,,,,
